file,elapsed_time,label1,score1,label2,score2,label3,score3
split_1_Audio_sample_phone,3.5309746265411377,Door,0.2617,Cash register,0.2129,Drawer open or close,0.1565
split_2_Audio_sample_phone,0.29056549072265625,Speech,0.8306,Snort,0.358,Gasp,0.1223
split_3_Audio_sample_phone,0.2851748466491699,Speech,0.659,Slam,0.1254,"Inside, small room",0.05856
split_4_Audio_sample_phone,0.2758817672729492,Speech,0.653,"Inside, small room",0.1458,Door,0.1285
split_5_Audio_sample_phone,0.19505095481872559,Door,0.1375,Knock,0.112,"Inside, small room",0.03824
split_6_Audio_sample_phone,0.28939270973205566,Computer keyboard,0.8506,Typing,0.819,Typewriter,0.04788
split_7_Audio_sample_phone,0.2951929569244385,Computer keyboard,0.5977,Typing,0.53,Clicking,0.09503
split_8_Audio_sample_phone,0.29709696769714355,Music,0.2769,Zipper (clothing),0.03021,Shuffle,0.02351
split_9_Audio_sample_phone,0.27565956115722656,Speech,0.2362,Pant,0.2084,Music,0.1909
split_10_Audio_sample_phone,0.20310091972351074,Speech,0.7393,Music,0.6226,Electronic music,0.1356
split_11_Audio_sample_phone,0.27683067321777344,Speech,0.594,Music,0.3232,Electronic music,0.0536
